会社名,会場,ブース番号,説明（日本語）,備考,Best of Innovation,山中行きたい,長坂行きたい,PDFページ,PDF_X,PDF_Y
0x Limited,LVCC West,63200,0xmdは、大規模言語モデル(LLM)および大規模視覚言語モデル(LvLM)を通じて患者ケアと医療診断の向上に取り組むヘルスケアおよび医療生成AI企業です。提供するために...,,,,,11.0,302.69,186.7
360 Direct Access,LVCC West,61244,360 Direct Accessは、聴覚障害者や難聴コミュニティのコミュニケーション障壁を取り除くために、グローバル企業と提携しています。私たちの実証済みの革新的なソリューションは、顧客体験をカスタマイズして変革します...,,,,,11.0,229.63,344.5
4D1,LVCC West,62066,4D1は、ロボット、工具、デバイス、人間に対して、ミリ波レベルの3D屋内位置測定と完全な6被写度の向き設定を提供します。当社のプラグアンドプレイRTLSは、SLAMやカメラ、電源なしでドリフトレスの精度を提供します。,,,,,11.0,181.0,295.88
4INLAB Inc.,LVCC West,63416,,,,,,11.0,273.58,166.82
ABEYE,LVCC West,60601,ABEYEは神経視覚系に焦点を当てた神経科学の深層技術です。受賞歴のある科学に裏付けられ、私たちの製品は読書に課題のある人々の読書の快適さを瞬時に向上させます(CES賞...,,,,,11.0,305.05,371.03
ACCESS BRAIN,LVCC West,60711,営業担当者やマネージャーの面接を支援するAIソリューション。ユーザーは顧客や従業員に近い感覚を生み出すために、何を言い、どんな姿勢を取るべきかを知っています。同種。。。,,,,,11.0,369.65,344.52
AGIGA,LVCC West,61466,AGIGAは、AIネイティブ企業で、次世代のウェアラブル技術を開発し、人間の自立を後押ししています。私たちの最初の製品であるEchoVisionスマートグラスは、リアルタイムの環境理解を提供します...,,,,,11.0,181.0,331.24
"AI model, Inc.",LVCC West,60509,AIモデル株式会社は、独自の生成AI技術を通じてビジュアルマーケティングを革新する日本の先駆的なスタートアップです。私たちはバーチャルヒューマンモデルやAI人材を作成し、ブランディングやp...,,,,,11.0,364.95,384.29
"AIBIZ Co., Ltd.",Venetian Expo,62817,AIBIZは先進製造向けの産業用AIソリューションを専門としています。当社の旗艦プラットフォームであるDutchBoyは、ディープラーニングとセンサーデータを活用し、リアルタイムの異常検出や根本原因分析などを行います。,製造向け産業AI。動向を見ておくくらい,,,★★,11.0,272.28,206.6
AICU Inc.,LVCC West,62501,AICUはVision AIを用いた非侵襲的医療の先駆者です。当社のコアソリューションであるFecal ScannerとGait Scannerは、生体画像を解析し、IBDや認知症の兆候を早期に検出します。日常のカメラを変革することで...,,,,,11.0,347.95,238.42
AJProTech LLC,LVCC West,60317,AJProTechは、新しいコンシューマーエレクトロニクス、モノのインターネット、ウェアラブル、スポーツテック、AR/VRデバイスの開発を手がける受賞歴のあるIoT製品開発スタジオです。提供内容:ハードウェア製品開発...,,,,,11.0,381.54,407.27
ALLERGEN ALERT,LVCC West,60711,アレルゲンアラートのビジョンは、食物アレルギーやセリアック病を持つ人々の生活を改善し、アレルゲンやグルテンへの曝露リスクを減らし、彼らが自分の食品を検査できるようにすることです。システムは...,,,,,11.0,369.65,344.52
ANT Systems Nano Tech,LVCC West,63432,私たちはイノベーション、農業、環境保護の交差点に築かれたテクノロジー企業です。私たちの旗艦ソリューションであるNanotern™、Insease、Antimic Agroは...,,,,,11.0,240.13,184.48
ARCALINK,LVCC West,62919,ArcaLink Oneは、革新的な電子機器とソフトウェアを駆使し、より没入感があり手軽なボードゲーム体験を目指しています。私たちは情熱から集まり、テクノロジーが加速できると信じて...,,,,,11.0,385.42,219.83
ARDGE,LVCC West,62201,ARGGEは、スマートなAIをよりアクセスしやすくすることを使命としています。当社のハードウェア製品は、NVIDIA GPUとSOCを搭載し、最適化されたOS、高度な推論モデル、AIエージェントアプリがプリインストールされています...,,,,,11.0,313.4,238.43
ASC (Applied Sensor Co.),LVCC West,60452,Applied Sensor Co.は、あなたの物理的な空間を目立たない正確なデータソースに変えるスマートテキスタイル企業です。周囲の織物から目立たずに監視し、洞察を集めるのを手伝う...,,,,,11.0,211.94,397.55
"ASENTECH Co., Ltd.",LVCC West,63416,,,,,,11.0,273.58,166.82
"ASTROX CO.,LTD",LVCC West,62501,AstroXは無人および有人航空機の高性能メーカーです。私たちは高負荷で長距離のミッションドローンやパーソナルエアビークル(PAV)の開発をリードし、将来のモビリティを提供します。,,,,,11.0,347.95,238.42
ASYGN,LVCC West,60711,ASYGNは電子機器が観察したものを分析し理解できるチップを作っています。私たちは人間が視覚を通じてデバイスとコミュニケーションを取ると信じています。私たちの最新の革新、大腸菌...,,,,,11.0,369.65,344.52
ATDev,LVCC West,61261,ATDevは、独立性を再定義するロボットモビリティシステムを開発しています。当社のポートフォリオは、FDA承認のスマートリハビリデバイスであるReflexと次世代ロボット車椅子プラットフォームにまたがっています。私たちはフィジカを組み合わせて...,,,,,11.0,194.26,335.66
ATLO Corp.,LVCC West,63701,ATLO社は、マルチモーダル知能とデジタルおよび物理的な存在を融合させたAIコンパニオンを開発しています。私たちの使命は、ボイックを通じてユーザーを理解する感情知能システムを構築することです...,,,,,11.0,345.06,166.78
Abitat,LVCC West,62242,,,,,,11.0,234.05,282.61
AcademicSight,Venetian Expo,63432,Pro Sichtは、製造向けのAI搭載の目視検査およびトレーサビリティソリューションを構築しています。当社のエッジクラウドプラットフォームは、微細な表面欠陥を検出し、組み立てや溶接の品質を検証し、リアルタイムで...,,,★,,11.0,240.13,184.48
Adaptronics s.r.l,LVCC West,62000,,,,,,11.0,310.14,282.62
Aequil Science,LVCC West,60711,AEQUIL®サイエンスは、低周波・低エネルギーフィールドを用いて生物物理学と生化学的科学をつなぎ、より安全な解決策を実現する生物物理学の先駆者です。,,,,,11.0,369.65,344.52
Aerleum,LVCC West,60903,エアレウムは、大気から直接回収したCO2から持続可能な燃料や化学物質を生産する技術を開発しています。私たちの目標は、化石燃料に代わるコスト競争力のある代替手段を提供し、脱炭素化を可能にすることです...,,,,,11.0,348.98,362.18
Africa Pavilion,LVCC West,63318,アフリカパビリオンの第2回開催 — CESの中心にあるアフリカのイノベーションを展示する画期的な展示。大陸で最も大胆なスタートアップ、ビジョナリークリエイター、そしてブレイクスルーが集まるダイナミックな空間...,,,,,11.0,384.44,206.57
Agnose BV (Clementine),LVCC West,62100,15億人が難聴を抱えていますが、80%はスティグマや認知度の低さから支援を求めていません。難聴は認知症の予防可能な主な原因であるため、Clementine AIの自己診断と教育は...,,,,,11.0,346.94,271.58
AidALL Inc.,LVCC West,62643,AidALLは、オンデバイスコンピューティングとニューロモルフィック人工知能に基づく知能ロボットの開発を行う企業です。現在、この技術を知的自律型に実装しています...,,,,,11.0,221.83,238.41
Ailicorn Inc,LVCC West,62201,アイリコーンのビジョンは、屋内での事故を防ぐことです。ハードウェアとソフトウェアを統合する企業として、世界的なプライバシー意識の波の中で新世代のAI搭載エッジセンサーを提供しています...,,,,,11.0,313.4,238.43
Aiminify,LVCC West,62100,コンピュータビジョンモデルを1行のコードで圧縮しましょう。Aiminifyはモデルを最大10倍速く、4倍小さく自動で調整します。すべては自社のインフラ上で安全に動作しているので、データは...,,,,,11.0,346.94,271.58
Airoma AI Limited,LVCC West,63200,世界初のAI駆動真嗅覚認識センサー - MEMS技術とAI学習を組み合わせ、嗅覚認識を日常的な応用に持ち込む真の嗅覚認識の先駆者。,,,,,11.0,302.69,186.7
Airudit,LVCC West,60902,AIRUDITは、どんなオペレーターでも複雑な機械やシステムと自然言語で容易に会話できるようにするAIエージェント会話ソリューションを開発し、認知負荷を軽減し、インドゥ...,,,,,11.0,348.98,371.02
Airvida Inc,LVCC West,62201,Airvidaはウェアラブルデバイス企業で、吸入可能なPM2.5(大気汚染物質)、ウイルス、花粉、アレルゲンを減らし、いつでも周囲の空気を浄化するウェアラブル空気清浄機を専門としています。,,,,,11.0,313.4,238.43
Aispeakin,LVCC West,62201,AI自動探偵は事前設定なしで翻訳の対象言語を特定し、30以上の言語を提供します。私たちはAIspeakinコアサービスを用いてスマートテレビと統合し、AIspeakin ser...を組み込みました。,,,,,11.0,313.4,238.43
All Good Energy Co. Ltd.,LVCC West,62201,オールグッドエナジーは、セキュリティとサプライチェーンの強靭性に対するコミットメントを堅持し続けています。MOLICEL®との協力を通じて、私たちは100%台湾産で中国以外のソリューションを誇りを持って提供しています...,,,,,11.0,313.4,238.43
Altrina Corporation,LVCC West,61046,Altrinaはバックオフィスの主要な自動化ソリューションであり、調達、法務、カスタマーサポート、営業チームが自動操縦で運営できるようにします。以前はテッサAIでした。,,,,,11.0,225.21,357.76
"Amatelus Co., Ltd.",LVCC West,62801,AMATELUSが開発したSwipeVideoは、世界のビデオ体験のあり方を革命的に変えています。世界初の特許取得済みクラウドベースのストリーミング技術は、ユーザーがシームレスかつ自由に切り替えることを可能にします...,,,,,11.0,302.4,213.22
AmberRoad,LVCC West,61453,生産性(原材料、エネルギー、コスト)を向上させるエンドツーエンドの工場AIプラットフォーム 私たちは:実績ある900%の平均に基づき、クライアントROIを100%+保証、3ヶ月以内にフルシステムを納品する、...,,,,,11.0,205.12,304.73
Analytics-model,LVCC West,60853,アナリティクスモデルは、対話型AI、自律型ダッシュボード生成、MCPコネクター、マルチエージェントインテリジェンスによって支えられた分析の未来です。必要なものを説明すれば、システムが...,,,,,11.0,211.94,362.18
"Anchor Film Co., Ltd.",LVCC West,62201,アンカーフィルムは動画制作効率の向上、適用分野の拡大、新製品の開発に注力しており、動画のイノベーションを中心にしています。,,,,,11.0,313.4,238.43
Archi's Academy,LVCC West,63432,Archi's Academyは、従来のコーディングテストではなく、実際のGitHub統合プロジェクトを通じて開発者を評価するAI搭載の体験型評価プラットフォームです。私たちは結婚した...,,,,,11.0,240.13,184.48
Argeron Medikal,LVCC West,63432,アルジェロン・メディカルは、加齢と生物学的年齢評価を専門とする革新的な企業であり、最先端の健康技術を開発しています。私たちは体外診断キットやバイオマーカーベースのTESに注力しています...,,,,,11.0,240.13,184.48
AstroBrew,LVCC West,60111,AstroBrewは究極のコールドブリューコーヒーメーカーです。スタイリッシュなカウンタートップ家電は世界最速です。ニューヨーク・コーヒーフェスティバルで最も期待されているコールドブリューマシンに選ばれた2024年のbe...,,,,,11.0,368.6,415.23
"AunionAi Co., Ltd.",Venetian Expo,61510,AunionAIはAI駆動のローカリゼーションを専門とし、高度な音声・音声処理と深層学習を用いて自動字幕作成や吹き替えを行っています。私たちは言語の壁を打ち破り、グローバルなコンテンツを向上させます...,AI駆動の多言語対応（自動字幕・吹き替え）。グローバルコミュニケーション支援,,,★★,11.0,366.66,331.24
Auria Robotics Inc,LVCC West,61035,私たちは自閉症の子どもたちを支援するために、ネイティブのAIプラットフォームとモジュール式のコンパニオンロボットを提供しています。私たちのソリューションは、家庭、学校、クリニックなど、手頃な価格でパーソナライズされ、魅力的な学習を提供します。,,,,,11.0,251.73,348.92
Auvergne Rhone-Alpes,LVCC West,60711,オーヴェルニュ・レーネ・アルプ地域(ブース60711)は、Minalogicのコーチングによる38の革新的なスタートアップを支援し、人工知能、IoT、スマートシティ、環境などのイノベーションを発表します。,,,,,11.0,369.65,344.52
Avatar Medical SAS,LVCC West,60401,Avatar MedicalはCTやMRIスキャンを即時でリアルな3Dアバターに変換し、より深い臨床理解を実現します。同社のVisionプラットフォームは、医師が明確にコミュニケーションを取り、ワークフローを効率化し、...,,,,,11.0,305.05,384.29
"B2LAB Co., Ltd.",LVCC West,61453,B2LABは、先進的なレーザーおよび電磁技術を活用した包括的な医療機器ソリューションを提供しています。これらのソリューションは、在宅医療から専門的な医療まで幅広い用途をカバーしています。,,,,,11.0,205.12,304.73
BTRY AG,LVCC West,61220,BTRYはETHチューリッヒとEmpaのスピンオフ企業で、1分間で充電・放電が可能な超薄(0.2mm)半導体電池を開発し、追加のコンデンサなしで無線送信を直接実現します。BTR...,,,,,11.0,270.31,331.24
Barkingdog.ai,LVCC West,62201,Barkingdog.ai XR+AIのインタラクティブソリューションを開発しています。旗艦の「AI Amaze Ambassador」はChatGPTとベクターベースのLLM検索を統合し、観光、小売、マーケティング、トレーニングなどに向けたスマートサービスを提供しています。,,,,,11.0,313.4,238.43
Beadroots SRL,LVCC West,61001,,,,,,11.0,308.95,317.11
Beespenser,LVCC West,63432,Beespenserは、柔軟な表面や剛性のある表面上での機能回路の迅速な試作を可能にする高度なマイクロディスペンションシステムを開発しています。我々の旗艦製品、モノビーは精密印刷を組み合わせている、博士...,,,,,11.0,240.13,184.48
Bellaria Technology GmbH,LVCC West,60450,衛生、快適さ、持続可能性のためのイノベーション ベラリアは、日常の衛生と健康の課題を再定義する革新的なソリューションを掲げています。特許取得済みのAirCubeとAirSeatを活用し、世界的に...,,,,,11.0,216.36,397.55
Beroony,LVCC West,60453,BeroonyはAIを活用して人間の能力を向上させるウェアラブル技術の開発を専門としています。完全統合された脳-機械インターフェース(BMI)は、現在の技術により依然として野心的な目標であり続けています...,,,,,11.0,211.94,388.71
Blueberry Technology Inc.,LVCC West,61053,2020年に設立されたBlueberry Technologyは、すべての人のためのモビリティを再定義することを使命としています。私たちの最初の製品である自律型パーソナルモビリティビークルは、即興で空港交通を革新しています...,,,,,11.0,207.76,344.5
Blumind,LVCC West,60844,Blumindは革新的なアナログAIチップでAIを使いやすく、持続可能なものにしています。AIoT、ロボティクス、スマートモビリティ、スマートホーム/シティ、ヘルス、ウェアラブル分野のエッジAIアプリケーションはBlu...,,,,,11.0,229.63,371.02
BookAI,LVCC West,62201,BookAIは明確な使命を持つ先進的なAIプラットフォームです。それは、世界中のクリエイターを力づけ、知識のための国境のないバベルの塔を再建することです。私たちは単なる道具以上の存在です。私たちは戦略的なエコシステムのデディックです...,,,,,11.0,313.4,238.43
